"WaterYear","Month","monthlyprecipitation","avgmonthlymaxtemp","avgmonthlymintemp"
"2014",1,0.42,21.4032258064516,3.14516129032258
"2014",2,0.3,22.4285714285714,2.58928571428571
"2014",3,0.59,33.0833333333333,16.3333333333333
"2014",4,4.67,48.6481481481481,32.0555555555556
"2014",5,2.59,61.0277777777778,42.8611111111111
"2015",1,0.07,17.2222222222222,2.22222222222222
"2015",3,0.61,40.2666666666667,22.6833333333333
"2015",4,2.16,51.1785714285714,34.3392857142857
"2015",5,2.83,63,43.1666666666667
"2015",7,0.84,78.05,58.25
"2015",8,0.15,77.7647058823529,61.2352941176471
"2015",9,0.02,73.3636363636364,57.6363636363636
"2015",10,2.31,54.8571428571429,43.7142857142857
"2015",11,1.67,37.1666666666667,23.5740740740741
"2015",12,0.18,34.9642857142857,21.8571428571429
"2016",1,0.2,33.8148148148148,19.8888888888889
"2016",2,0.28,32.9821428571429,18.1607142857143
"2016",3,3.16,42.9,29.5166666666667
"2016",4,1.23,48.1,32.8
"2016",5,1.96,63.4827586206897,43.9137931034483
"2016",6,3.26,73.7068965517241,55.7413793103448
"2016",8,0.01,81.5,62.75
"2016",9,0.08,76,56.5
"2016",10,0.65,61.6363636363636,42.4545454545455
"2016",11,0.73,55.8,36.9333333333333
"2016",12,4.15,42.3921568627451,31.5
"2017",1,2.1,28.8,17.5166666666667
"2017",2,0.89,37.26,22.02
"2017",3,0.92,37.3225806451613,24.3870967741935
"2017",4,2.26,55.5,36.8958333333333
"2017",5,3.37,60.7222222222222,42.9814814814815
"2017",6,5.4,76.64,57.04
"2017",7,1.79,78.7173913043478,61.1304347826087
"2017",8,0,64,53
"2017",9,1.1,72.12,52.66
"2017",10,0.4,61,42.6666666666667
"2017",11,0.08,59.8461538461538,38.6153846153846
"2017",12,0.27,37.0833333333333,30.9166666666667
"2018",1,1.02,28.1833333333333,13.75
"2018",2,0.74,30.6785714285714,14.8392857142857
"2018",3,0.56,37.462962962963,22.9814814814815
"2018",4,1.95,43.3,26.3333333333333
"2018",5,3.47,67.0227272727273,46.0681818181818
"2018",6,4.04,72.7333333333333,55.9
"2018",7,3.87,77.9655172413793,59.9827586206897
"2018",8,6.23,77.1290322580645,59.9838709677419
"2018",9,3.39,69.8333333333333,52.4416666666667
"2018",10,2.7,59.5862068965517,45.1206896551724
"2018",11,1.22,42.3076923076923,27.5384615384615
"2018",12,0.74,27.6379310344828,13.5862068965517
"2019",1,0.9,23.6666666666667,9.13333333333333
"2019",2,1.44,28.537037037037,10.3703703703704
"2019",3,1.09,36.5,18.8275862068966
"2019",4,3.06,49.6724137931034,34.1724137931034
"2019",5,4.5,60.0862068965517,42.1896551724138
"2019",6,3.75,77.5172413793103,54.5
"2019",7,2.3,79.0535714285714,60.9285714285714
"2019",8,4.77,74.5833333333333,57.35
"2019",9,5.31,70.2758620689655,55.2758620689655
"2019",10,3.1,54.9310344827586,38.7672413793103
"2019",11,0.93,36.15,26.1666666666667
"2019",12,2.09,34.9516129032258,23.1774193548387
"2020",1,0.73,35.2,21.84
"2020",2,0.44,31.1551724137931,14.4310344827586
"2020",3,3.99,41.1,27.65
"2020",4,1.82,47.7666666666667,31.2333333333333
"2020",5,5.68,60.3225806451613,42.2903225806452
"2020",6,3.02,74.7241379310345,54.4310344827586
"2020",7,7.13,80.3214285714286,64.1428571428571
"2020",8,2.14,77.7666666666667,60.25
"2020",9,0.92,68.695652173913,50.2028985507246
"2020",10,4.64,53.1333333333333,38.5333333333333
"2020",11,0.55,34.525,23.65
"2020",12,2.08,35.7241379310345,21.051724137931
"2021",1,0.65,32.3928571428571,20.4285714285714
"2021",2,0.17,24.7857142857143,6.58928571428571
"2021",3,0.85,41.5714285714286,28.75
"2021",4,0.31,54.0625,38.53125
"2021",5,2.44,62.8076923076923,43.2884615384615
"2021",6,0.27,76.0277777777778,56.8611111111111
"2021",7,5.83,76.8,59.18
"2021",8,3.75,78.1428571428571,62.0833333333333
"2021",10,0.71,53.1785714285714,36.0654761904762
"2021",11,2.53,50.1458333333333,32.6875
"2021",12,0.35,33.5909090909091,21.1590909090909
