FID,Shape *,GRIDCODE,Subbasin,Longitude,Latitude
0,Polygon,90,90,-87.620287,44.136898
1,Polygon,91,91,-87.653836,44.100372
2,Polygon,92,92,-87.679809,44.0773
3,Polygon,93,93,-87.694887,44.012786
4,Polygon,94,94,-87.715603,43.949766
5,Polygon,95,95,-87.742085,43.900645
6,Polygon,96,96,-87.747359,43.833609
7,Polygon,97,97,-87.731253,43.812136
8,Polygon,98,98,-87.70232,43.978949
9,Polygon,99,99,-87.660006,44.051223
10,Polygon,1,1,-87.768284,43.910689
11,Polygon,2,2,-87.78056,43.950037
12,Polygon,3,3,-87.782228,43.990779
13,Polygon,4,4,-87.713653,43.993036
14,Polygon,5,5,-87.74236,44.019979
15,Polygon,6,6,-87.701695,44.037181
16,Polygon,7,7,-87.695572,44.061466
17,Polygon,8,8,-87.741859,44.067605
18,Polygon,9,9,-87.809553,44.053018
19,Polygon,10,10,-87.695985,44.097186
20,Polygon,11,11,-87.731052,44.123738
21,Polygon,12,12,-87.80583,44.187838
22,Polygon,13,13,-87.78579,44.118943
23,Polygon,14,14,-87.862804,44.098365
24,Polygon,15,15,-87.903322,44.081714
25,Polygon,16,16,-88.100074,44.070559
26,Polygon,17,17,-88.085939,44.031115
27,Polygon,18,18,-88.032751,44.000686
28,Polygon,19,19,-88.122514,43.981123
29,Polygon,20,20,-88.157693,44.026454
30,Polygon,21,21,-88.031367,44.044588
31,Polygon,22,22,-88.229686,43.957968
32,Polygon,23,23,-87.910389,44.019834
33,Polygon,24,24,-87.96379,44.06119
34,Polygon,25,25,-87.979348,44.173199
35,Polygon,26,26,-88.100961,44.114528
36,Polygon,27,27,-88.024235,44.056873
37,Polygon,28,28,-88.162057,44.128854
38,Polygon,29,29,-88.132025,44.175553
39,Polygon,30,30,-88.105057,44.164605
40,Polygon,31,31,-88.011397,44.087758
41,Polygon,32,32,-87.891062,44.226251
42,Polygon,33,33,-87.854716,44.160282
43,Polygon,34,34,-87.890606,44.142432
44,Polygon,35,35,-87.964605,44.263135
45,Polygon,36,36,-87.659469,44.129284
46,Polygon,37,37,-87.706477,44.144384
47,Polygon,38,38,-87.783522,43.849774
48,Polygon,39,39,-87.760825,43.865489
49,Polygon,40,40,-87.725889,43.802283
50,Polygon,41,41,-87.74985,43.794482
51,Polygon,42,42,-87.769881,43.813048
52,Polygon,43,43,-88.274912,43.877493
53,Polygon,44,44,-88.067941,43.971963
54,Polygon,45,45,-88.132121,44.054836
55,Polygon,46,46,-88.070801,44.195599
56,Polygon,47,47,-87.98454,44.29969
57,Polygon,48,48,-88.195669,44.034689
58,Polygon,49,49,-88.181936,43.981553
59,Polygon,50,50,-88.002955,44.326201
60,Polygon,51,51,-88.060825,44.157443
61,Polygon,52,52,-87.731622,44.039859
62,Polygon,53,53,-87.745897,44.044242
63,Polygon,54,54,-87.738434,44.052772
64,Polygon,55,55,-87.769129,44.034185
65,Polygon,56,56,-87.784303,44.046768
66,Polygon,57,57,-88.029037,44.115932
67,Polygon,58,58,-88.049044,44.152992
68,Polygon,59,59,-88.045281,44.143405
69,Polygon,60,60,-88.037381,44.13814
70,Polygon,61,61,-88.040486,44.128065
71,Polygon,62,62,-88.057067,44.140663
72,Polygon,63,63,-87.765939,44.081317
73,Polygon,64,64,-87.853723,44.231776
74,Polygon,65,65,-87.815619,44.125024
75,Polygon,66,66,-87.848665,44.138848
76,Polygon,67,67,-87.856839,43.9946
77,Polygon,68,68,-88.000788,43.952112
78,Polygon,69,69,-87.897391,43.996415
79,Polygon,70,70,-87.904606,43.990153
80,Polygon,71,71,-87.925624,44.000017
81,Polygon,72,72,-87.746001,44.05706
82,Polygon,73,73,-87.734744,44.060641
83,Polygon,74,74,-87.848892,43.987915
84,Polygon,75,75,-87.931521,43.983208
85,Polygon,76,76,-87.93161,43.985591
86,Polygon,77,77,-87.991643,43.977765
87,Polygon,78,78,-87.759161,44.066161
88,Polygon,79,79,-87.75013,43.819302
89,Polygon,80,80,-87.827367,44.123709
90,Polygon,81,81,-87.820153,44.092317
91,Polygon,82,82,-88.214854,43.912791
92,Polygon,83,83,-88.245912,44.032457
93,Polygon,84,84,-88.18887,44.065783
94,Polygon,85,85,-88.233787,44.098556
95,Polygon,86,86,-88.193855,44.158843
96,Polygon,87,87,-87.755152,44.002811
97,Polygon,88,88,-88.066099,43.945687
98,Polygon,89,89,-87.909016,44.27853
