"agency_cd","site_no","Date","X_00060_00003","X_00060_00003_cd"
"USGS","02335000",1995-01-01,756,"A"
"USGS","02335000",1995-01-02,1760,"A"
"USGS","02335000",1995-01-03,1810,"A"
"USGS","02335000",1995-01-04,2130,"A"
"USGS","02335000",1995-01-05,2370,"A"
"USGS","02335000",1995-01-06,1970,"A"
"USGS","02335000",1995-01-07,1090,"A"
"USGS","02335000",1995-01-08,801,"A"
"USGS","02335000",1995-01-09,1790,"A"
"USGS","02335000",1995-01-10,1840,"A"
"USGS","02335000",1995-01-11,1830,"A"
"USGS","02335000",1995-01-12,1830,"A"
"USGS","02335000",1995-01-13,1820,"A"
"USGS","02335000",1995-01-14,905,"A"
"USGS","02335000",1995-01-15,908,"A"
"USGS","02335000",1995-01-16,1820,"A"
"USGS","02335000",1995-01-17,2390,"A"
"USGS","02335000",1995-01-18,3070,"A"
"USGS","02335000",1995-01-19,3490,"A"
"USGS","02335000",1995-01-20,3360,"A"
"USGS","02335000",1995-01-21,1750,"A"
"USGS","02335000",1995-01-22,795,"A"
"USGS","02335000",1995-01-23,3160,"A"
"USGS","02335000",1995-01-24,4750,"A"
"USGS","02335000",1995-01-25,4750,"A"
"USGS","02335000",1995-01-26,4830,"A"
"USGS","02335000",1995-01-27,4790,"A"
"USGS","02335000",1995-01-28,2820,"A"
"USGS","02335000",1995-01-29,978,"A"
"USGS","02335000",1995-01-30,2980,"A"
"USGS","02335000",1995-01-31,4840,"A"
"USGS","02335000",1995-02-01,4830,"A"
"USGS","02335000",1995-02-02,4830,"A"
"USGS","02335000",1995-02-03,4830,"A"
"USGS","02335000",1995-02-04,2680,"A"
"USGS","02335000",1995-02-05,805,"A"
"USGS","02335000",1995-02-06,3170,"A"
"USGS","02335000",1995-02-07,4810,"A"
"USGS","02335000",1995-02-08,4800,"A"
"USGS","02335000",1995-02-09,4780,"A"
"USGS","02335000",1995-02-10,5070,"A"
"USGS","02335000",1995-02-11,3360,"A"
"USGS","02335000",1995-02-12,1100,"A"
"USGS","02335000",1995-02-13,1940,"A"
"USGS","02335000",1995-02-14,1960,"A"
"USGS","02335000",1995-02-15,1950,"A"
"USGS","02335000",1995-02-16,5310,"A"
"USGS","02335000",1995-02-17,4400,"A"
"USGS","02335000",1995-02-18,3320,"A"
"USGS","02335000",1995-02-19,5750,"A"
"USGS","02335000",1995-02-20,5700,"A"
"USGS","02335000",1995-02-21,5290,"A"
"USGS","02335000",1995-02-22,5240,"A"
"USGS","02335000",1995-02-23,5220,"A"
"USGS","02335000",1995-02-24,5220,"A"
"USGS","02335000",1995-02-25,2430,"A"
"USGS","02335000",1995-02-26,1540,"A"
"USGS","02335000",1995-02-27,2830,"A"
"USGS","02335000",1995-02-28,5570,"A"
"USGS","02335000",1995-03-01,6110,"A"
"USGS","02335000",1995-03-02,4930,"A"
"USGS","02335000",1995-03-03,4620,"A"
"USGS","02335000",1995-03-04,3420,"A"
"USGS","02335000",1995-03-05,2940,"A"
"USGS","02335000",1995-03-06,3340,"A"
"USGS","02335000",1995-03-07,4240,"A"
"USGS","02335000",1995-03-08,3480,"A"
"USGS","02335000",1995-03-09,8190,"A"
"USGS","02335000",1995-03-10,6680,"A"
"USGS","02335000",1995-03-11,6910,"A"
"USGS","02335000",1995-03-12,7110,"A"
"USGS","02335000",1995-03-13,6730,"A"
"USGS","02335000",1995-03-14,6360,"A"
"USGS","02335000",1995-03-15,6010,"A"
"USGS","02335000",1995-03-16,6200,"A"
"USGS","02335000",1995-03-17,6660,"A"
"USGS","02335000",1995-03-18,4280,"A"
"USGS","02335000",1995-03-19,3760,"A"
