Station_Name,Latitude,Longitude,Elevation,Station_Type,Station_ID
Stage IV Nexrad (4-m spacing),34.7439164835921,-79.0078124146318,,StageIV,Stg_IV_34.74_-79.00
Stage IV Nexrad (4-m spacing),34.776309904373,-78.9885796716316,,StageIV,Stg_IV_34.77_-78.98
Stage IV Nexrad (4-m spacing),34.7281136696378,-78.9684061600778,,StageIV,Stg_IV_34.72_-78.96
Stage IV Nexrad (4-m spacing),34.7604915367894,-78.9491527633588,,StageIV,Stg_IV_34.76_-78.94
Stage IV Nexrad (4-m spacing),34.7122908811205,-78.929026362198,,StageIV,Stg_IV_34.71_-78.92
Stage IV Nexrad (4-m spacing),34.7446531829806,-78.909752362048,,StageIV,Stg_IV_34.74_-78.90
Stage IV Nexrad (4-m spacing),34.6641056571605,-78.9089411072024,,StageIV,Stg_IV_34.66_-78.90
Stage IV Nexrad (4-m spacing),34.7770197184849,-78.8904518444129,,StageIV,Stg_IV_34.77_-78.89
Stage IV Nexrad (4-m spacing),34.6964481502225,-78.8896730315255,,StageIV,Stg_IV_34.69_-78.88
Stage IV Nexrad (4-m spacing),34.6159358933302,-78.8888968772442,,StageIV,Stg_IV_34.61_-78.88
Stage IV Nexrad (4-m spacing),34.7287948751848,-78.8703784782034,,StageIV,Stg_IV_34.72_-78.87
Stage IV Nexrad (4-m spacing),34.6482585861471,-78.8696347467936,,StageIV,Stg_IV_34.64_-78.86
Stage IV Nexrad (4-m spacing),34.7611458153921,-78.8510573970066,,StageIV,Stg_IV_34.76_-78.85
Stage IV Nexrad (4-m spacing),34.6805855091288,-78.8503461784792,,StageIV,Stg_IV_34.68_-78.85
Stage IV Nexrad (4-m spacing),34.6000845190537,-78.8496373870102,,StageIV,Stg_IV_34.60_-78.84
Stage IV Nexrad (4-m spacing),34.7129166456424,-78.8310311222146,,StageIV,Stg_IV_34.71_-78.83
Stage IV Nexrad (4-m spacing),34.6323916486266,-78.8303548242297,,StageIV,Stg_IV_34.63_-78.83
Stage IV Nexrad (4-m spacing),34.5519259771114,-78.8296808317863,,StageIV,Stg_IV_34.55_-78.82
Stage IV Nexrad (4-m spacing),34.7452519790085,-78.8116895277997,,StageIV,Stg_IV_34.74_-78.81
Stage IV Nexrad (4-m spacing),34.6647029900264,-78.8110458133643,,StageIV,Stg_IV_34.66_-78.81
Stage IV Nexrad (4-m spacing),34.5842133218568,-78.8104042948984,,StageIV,Stg_IV_34.58_-78.81
Stage IV Nexrad (4-m spacing),34.7775914925012,-78.7923213449206,,StageIV,Stg_IV_34.77_-78.79
Stage IV Nexrad (4-m spacing),34.6970185265962,-78.7917103043571,,StageIV,Stg_IV_34.69_-78.79
Stage IV Nexrad (4-m spacing),34.6165048767328,-78.7911013497317,,StageIV,Stg_IV_34.61_-78.79
Stage IV Nexrad (4-m spacing),34.5360505568679,-78.7904944703814,,StageIV,Stg_IV_34.53_-78.79
Stage IV Nexrad (4-m spacing),34.7293382416323,-78.772348247038,,StageIV,Stg_IV_34.72_-78.77
Stage IV Nexrad (4-m spacing),34.6488006251046,-78.7717719463722,,StageIV,Stg_IV_34.64_-78.77
Stage IV Nexrad (4-m spacing),34.5683223338199,-78.7711976110465,,StageIV,Stg_IV_34.56_-78.77
Stage IV Nexrad (4-m spacing),34.4879033815782,-78.7706252310249,,StageIV,Stg_IV_34.48_-78.77
Stage IV Nexrad (4-m spacing),34.761662118385,-78.7529595911231,,StageIV,Stg_IV_34.76_-78.75
Stage IV Nexrad (4-m spacing),34.6811005502909,-78.7524160347927,,StageIV,Stg_IV_34.68_-78.75
Stage IV Nexrad (4-m spacing),34.6005983026017,-78.7518743334079,,StageIV,Stg_IV_34.60_-78.75
Stage IV Nexrad (4-m spacing),34.5201553892157,-78.7513344774896,,StageIV,Stg_IV_34.52_-78.75
Stage IV Nexrad (4-m spacing),34.7134046355641,-78.7330335648532,,StageIV,Stg_IV_34.71_-78.73
Stage IV Nexrad (4-m spacing),34.6328784465545,-78.7325245875811,,StageIV,Stg_IV_34.63_-78.73
Stage IV Nexrad (4-m spacing),34.5524115870255,-78.7320173454798,,StageIV,Stg_IV_34.55_-78.73
Stage IV Nexrad (4-m spacing),34.4720040707192,-78.7315118296912,,StageIV,Stg_IV_34.47_-78.73
Stage IV Nexrad (4-m spacing),34.7457128641503,-78.7136244863001,,StageIV,Stg_IV_34.74_-78.71
Stage IV Nexrad (4-m spacing),34.6651627489732,-78.7131483235694,,StageIV,Stg_IV_34.66_-78.71
Stage IV Nexrad (4-m spacing),34.5846719583708,-78.7126737852534,,StageIV,Stg_IV_34.58_-78.71
Stage IV Nexrad (4-m spacing),34.5042405061842,-78.7122008630538,,StageIV,Stg_IV_34.50_-78.71
Stage IV Nexrad (4-m spacing),34.7780252192288,-78.6941887487664,,StageIV,Stg_IV_34.77_-78.69
Stage IV Nexrad (4-m spacing),34.6974511931061,-78.6937454912629,,StageIV,Stg_IV_34.69_-78.69
Stage IV Nexrad (4-m spacing),34.6169364865692,-78.6933037469562,,StageIV,Stg_IV_34.61_-78.69
Stage IV Nexrad (4-m spacing),34.5364811135578,-78.692863508111,,StageIV,Stg_IV_34.53_-78.69
Stage IV Nexrad (4-m spacing),34.4560850877573,-78.6924247670444,,StageIV,Stg_IV_34.45_-78.69
Stage IV Nexrad (4-m spacing),34.7297437621553,-78.6743160404388,,StageIV,Stg_IV_34.72_-78.67
Stage IV Nexrad (4-m spacing),34.6492051548914,-78.6739071806219,,StageIV,Stg_IV_34.64_-78.67
Stage IV Nexrad (4-m spacing),34.5687258761797,-78.6734997151508,,StageIV,Stg_IV_34.56_-78.67
Stage IV Nexrad (4-m spacing),34.4883059398043,-78.6730936369049,,StageIV,Stg_IV_34.48_-78.67
Stage IV Nexrad (4-m spacing),34.7620404392758,-78.6548599207609,,StageIV,Stg_IV_34.76_-78.65
Stage IV Nexrad (4-m spacing),34.6814779465622,-78.6544840361714,,StageIV,Stg_IV_34.68_-78.65
Stage IV Nexrad (4-m spacing),34.6009747773433,-78.6541094343497,,StageIV,Stg_IV_34.60_-78.65
Stage IV Nexrad (4-m spacing),34.5205309455029,-78.6537361087408,,StageIV,Stg_IV_34.52_-78.65
Stage IV Nexrad (4-m spacing),34.4401464646703,-78.6533640528338,,StageIV,Stg_IV_34.44_-78.65
Stage IV Nexrad (4-m spacing),34.7137548447592,-78.6350342634125,,StageIV,Stg_IV_34.71_-78.63
Stage IV Nexrad (4-m spacing),34.6332278002957,-78.634692615772,,StageIV,Stg_IV_34.63_-78.63
Stage IV Nexrad (4-m spacing),34.5527600881692,-78.6343521328705,,StageIV,Stg_IV_34.55_-78.63
Stage IV Nexrad (4-m spacing),34.4723517221083,-78.6340128087622,,StageIV,Stg_IV_34.47_-78.63
Stage IV Nexrad (4-m spacing),34.7460358326139,-78.6155578120402,,StageIV,Stg_IV_34.74_-78.61
Stage IV Nexrad (4-m spacing),34.6654849282377,-78.6152492093692,,StageIV,Stg_IV_34.66_-78.61
Stage IV Nexrad (4-m spacing),34.5849933510729,-78.6149416595012,,StageIV,Stg_IV_34.58_-78.61
Stage IV Nexrad (4-m spacing),34.5045611149481,-78.614635157058,,StageIV,Stg_IV_34.50_-78.61
Stage IV Nexrad (4-m spacing),34.4241882334372,-78.6143296966979,,StageIV,Stg_IV_34.42_-78.61
Stage IV Nexrad (4-m spacing),34.7783208932107,-78.5960546316359,,StageIV,Stg_IV_34.77_-78.59
Stage IV Nexrad (4-m spacing),34.6977461443232,-78.5957791649807,,StageIV,Stg_IV_34.69_-78.59
Stage IV Nexrad (4-m spacing),34.6172307174374,-78.5955046387281,,StageIV,Stg_IV_34.61_-78.59
Stage IV Nexrad (4-m spacing),34.5367746264818,-78.5952310480706,,StageIV,Stg_IV_34.53_-78.59
Stage IV Nexrad (4-m spacing),34.4563778851303,-78.5949583882336,,StageIV,Stg_IV_34.45_-78.59
Stage IV Nexrad (4-m spacing),34.3760405068028,-78.5946866544749,,StageIV,Stg_IV_34.37_-78.59
Stage IV Nexrad (4-m spacing),34.7300114316597,-78.5762824323327,,StageIV,Stg_IV_34.73_-78.57
Stage IV Nexrad (4-m spacing),34.6494721704395,-78.576041020534,,StageIV,Stg_IV_34.64_-78.57
Stage IV Nexrad (4-m spacing),34.5689922399556,-78.575800432038,,StageIV,Stg_IV_34.56_-78.57
Stage IV Nexrad (4-m spacing),34.488571653982,-78.57556066264,,StageIV,Stg_IV_34.48_-78.57
Stage IV Nexrad (4-m spacing),34.4082104260384,-78.5753217081642,,StageIV,Stg_IV_34.40_-78.57
Stage IV Nexrad (4-m spacing),34.7622807733075,-78.5567589610381,,StageIV,Stg_IV_34.76_-78.55
Stage IV Nexrad (4-m spacing),34.6817176932095,-78.5565507547896,,StageIV,Stg_IV_34.68_-78.55
Stage IV Nexrad (4-m spacing),34.6012139385692,-78.5563432590864,,StageIV,Stg_IV_34.60_-78.55
Stage IV Nexrad (4-m spacing),34.5207695232611,-78.5561364702973,,StageIV,Stg_IV_34.52_-78.55
Stage IV Nexrad (4-m spacing),34.4403844609051,-78.555930384816,,StageIV,Stg_IV_34.44_-78.55
Stage IV Nexrad (4-m spacing),34.3600587648676,-78.5557249990604,,StageIV,Stg_IV_34.36_-78.55
Stage IV Nexrad (4-m spacing),34.7139672688308,-78.5370337912528,,StageIV,Stg_IV_34.71_-78.53
Stage IV Nexrad (4-m spacing),34.6334397054756,-78.5368594792304,,StageIV,Stg_IV_34.63_-78.53
Stage IV Nexrad (4-m spacing),34.55297147619,-78.5366857614749,,StageIV,Stg_IV_34.55_-78.53
Stage IV Nexrad (4-m spacing),34.4725625946945,-78.5365126349524,,StageIV,Stg_IV_34.47_-78.53
Stage IV Nexrad (4-m spacing),34.3922130744555,-78.5363400966498,,StageIV,Stg_IV_34.39_-78.53
Stage IV Nexrad (4-m spacing),34.3119229286862,-78.5361681435743,,StageIV,Stg_IV_34.31_-78.53
Stage IV Nexrad (4-m spacing),34.7462208803402,-78.5174900795683,,StageIV,Stg_IV_34.74_-78.51
Stage IV Nexrad (4-m spacing),34.6656695237814,-78.5173490423722,,StageIV,Stg_IV_34.66_-78.51
Stage IV Nexrad (4-m spacing),34.5851774959448,-78.5172084863305,,StageIV,Stg_IV_34.58_-78.51
Stage IV Nexrad (4-m spacing),34.5047448106517,-78.5170684089853,,StageIV,Stg_IV_34.50_-78.51
Stage IV Nexrad (4-m spacing),34.4243714814691,-78.5169288078951,,StageIV,Stg_IV_34.42_-78.51
Stage IV Nexrad (4-m spacing),34.3440575217103,-78.5167896806354,,StageIV,Stg_IV_34.34_-78.51
